status,blankets_creek,rope_mill
all trails are closed,0,0
all trails are open at blankets creek and rope mill parks all trails are closed at blankets creek and rope mill parks due to wet conditions ,1,1
all trails are open except quehl holler,1,1
all trails are open except the mill,1,1
all trails are closed due to wet conditions ,0,0
all trails are closed,0,0
trails are closed due to wet conditions,0,0
blankets creek is open  rope mill trails are closed  the trails at blankets creek and rope mill are open,0,0
all trails are open at blankets creek and rope mill park ,1,1
all trails are open at blankets creek and rope mill parks  turbine will be closed for maintenance starting tuesday feb 15 ,1,1
blankets creek is open  rope mill is closed ,1,0
blankets creek and rope mill trails are open  social ride and cookout saturday 12/11 @ blankets  ride at 11:00,1,1
psa ! starting october sth the mill trails at rope mill will be closed for maintenance  all trails are closed ,0,0
all trails are open at blankets creek and rope mill parks ,1,1
all trails are open (except the holler) ,1,1
"blankets creek is closed, rope mill is open ",0,1
all trails are closed due to rainy conditions,0,0
all trails are closed  psa ! pedalpalooza has been rescheduled to oct 16,0,0
trails are closed due to wet conditions ,0,0
all trails are open except south loop ,1,1
all trails are closed due to freeze thaw conditions ,0,0
blankets creek is closed today for a race  rope mill is open ,0,1
all trails are closed ,0,0
blankets creek is open  rope mill is closed due to wet conditions ,1,0
trails are closed due to wet conditions  please join us for our annual christmas party @ reformation woodstock on,0,0
rope mill is open  blankets creek is closed for repairs and will open later today ,0,1
"blankets creek is open, except the holler  rope mill is open",1,1
all trails are open,1,1
all trails are closed due to wet conditions,0,0
all trails are closed ,0,0
trails are open at blankets creek; trails are closed at rope mill park due to a search and rescue operation ,1,1
trails are open at blankets creek and rope mill trails ,1,1
all trails are open!,1,1
blankets creek is open except for the holler  rope mill is closed ,1,0
all trails are open at blankets creek and rope mill parks ,1,1
all trails are closed,0,0
trails are closed at blankets creek and rope mill,0,0
all trails are closed due to wet conditions ,0,0
all trails are closed due to wet conditions f,0,0
blankets creek is closed sunday 1/09 for a private event until noon  rope mill is open ,0,1
all trails are closed due ta wet conditions ,0,0
all trails are closed at blankets creek and rope mill parks due to wet conditions ,0,0
all trails are open  please be on the look out for downed trees and limbs  use caution on rock and roll trail due to,1,1
all trails are closed at blankets creek and rope mill for wet conditions ,0,0
trails are closed at blankets creek and rope mill parks due to freeze thaw conditions ,0,0
all trails are open at blankets creek and rope mill parks,1,1
all trails are closed due to wet conditions ,0,0
all trails are open (except the holler),1,1
all trails are open at blankets creek and rope mill (except the holler),1,1
rope mill trails are open but will be closed sat 11/13 until noon for the dirty duathlon race  blankets creek is,1,1
the trails at rope mill and blankets creek are openall trails are open at blankets creek and rope mill parks  blankets creek will be closed sunday 12/19/2021 until,1,1
all trails are open ,1,1
all trails are open at blankets creek and rope mill  blankets will be closed saturday april 2 for a race until early afternoon all trails are blankets creek are open  all trails at rope mill except the mill are open ,1,1
all trails are closed due to wet conditions  blankets creek will be closed sunday morning for a private event ,0,0
trails are closed at blankets creek and rope mill due to fregze/thaw conditions ,0,0
all trails are open at blankets creek and rope mill ,1,1
all trails are closed at blankets creek and rope mill due to freeze/thaw soil conditions ,0,0
all trails are closed at blankets creek and rope park parks due to wet conditions,0,0
"closed          rope mill: explorer, avalanche and the mill trails are open",1,1
all trails are open!,1,1
blankets creek is open (except south loop)  rope mill is closed ,1,0
